symbol,category
15-Sep,Unknown
4-Mar,Metabolism
40427,Growth Factors & Cytokines
41159,Growth Factors & Cytokines
4932411E22Rik,Unknown
5S_rRNA,Unknown
8-Sep,Signaling
A1i3,Immune
A2bp1,Development
A2ld1,metabolism and transport
A2m,Immune
A4galt,metabolism and transport
AABR07000248.1,Unknown
AABR07000390.1,Unknown
AABR07000392.1,Unknown
AABR07000398.1,Unknown
AABR07000398.2,Unknown
AABR07000400.1,Unknown
AABR07000402.1,Unknown
AABR07000404.1,Unknown
AABR07000410.1,Unknown
AABR07000533.1,Unknown
AABR07000533.2,Unknown
AABR07000629.2,Unknown
AABR07001207.1,Unknown
AABR07001512.1,Unknown
AABR07001516.2,Unknown
AABR07001592.1,Unknown
AABR07001599.1,Unknown
AABR07002848.2,Unknown
AABR07002973.1,Unknown
AABR07003033.1,Unknown
AABR07003601.1,Unknown
AABR07003601.10,Unknown
AABR07003601.11,Unknown
AABR07003601.12,Unknown
AABR07003601.3,Unknown
AABR07003601.5,Unknown
AABR07003601.7,Unknown
AABR07003601.9,Unknown
AABR07003602.1,Unknown
AABR07003650.1,Unknown
AABR07003944.1,Unknown
AABR07004375.1,Unknown
AABR07004394.1,Unknown
AABR07004547.1,Unknown
AABR07005702.1,Unknown
AABR07005703.1,Unknown
AABR07005703.2,Unknown
AABR07005708.1,Unknown
AABR07005708.2,Unknown
AABR07005709.3,Unknown
AABR07005709.4,Unknown
AABR07005709.6,Unknown
AABR07005709.8,Unknown
AABR07005871.1,Unknown
AABR07007083.1,Unknown
AABR07007789.1,Unknown
AABR07008259.1,Unknown
AABR07008372.1,Unknown
AABR07008646.1,Unknown
AABR07008991.1,Unknown
AABR07010160.2,Unknown
AABR07010544.1,Unknown
AABR07011031.1,Unknown
AABR07011434.1,Unknown
AABR07011697.1,Unknown
AABR07011705.1,Unknown
AABR07011746.1,Unknown
AABR07011809.2,Unknown
AABR07011997.1,Unknown
AABR07012535.1,Unknown
AABR07012658.1,Unknown
AABR07012994.1,Unknown
AABR07013208.1,Unknown
AABR07013304.1,Unknown
AABR07013762.2,Unknown
AABR07013922.1,Unknown
AABR07013922.2,Unknown
AABR07014161.2,Unknown
AABR07014317.1,Unknown
AABR07014342.1,Unknown
AABR07014384.1,Unknown
AABR07014534.2,Unknown
AABR07014885.1,Unknown
AABR07014987.1,Unknown
AABR07014992.2,Unknown
AABR07015055.2,Unknown
AABR07015056.1,Unknown
AABR07015064.1,Unknown
AABR07015065.1,Unknown
AABR07015066.1,Unknown
AABR07015067.1,Unknown
AABR07015076.1,Unknown
AABR07015078.1,Unknown
AABR07015078.2,Unknown
AABR07015079.1,Unknown
AABR07015080.1,Unknown
AABR07015080.2,Unknown
AABR07015081.1,Unknown
AABR07015087.1,Unknown
AABR07015089.1,Unknown
AABR07015784.1,Unknown
AABR07016586.1,Unknown
AABR07016731.2,Unknown
AABR07016779.1,Unknown
AABR07017824.2,Unknown
AABR07018048.1,Unknown
AABR07018124.2,Unknown
AABR07018155.1,Unknown
AABR07018837.1,Unknown
AABR07019398.1,Unknown
AABR07019449.1,Unknown
AABR07020222.1,Unknown
AABR07020898.1,Unknown
AABR07021096.1,Unknown
AABR07021923.1,Unknown
AABR07024546.1,Unknown
AABR07024721.1,Unknown
AABR07024724.1,Unknown
AABR07024724.2,Unknown
AABR07024825.1,Unknown
AABR07024907.1,Unknown
AABR07025329.1,Unknown
AABR07025408.3,Unknown
AABR07026137.1,Unknown
AABR07026137.2,Unknown
AABR07026382.1,Unknown
AABR07026492.1,Unknown
AABR07026534.2,Unknown
AABR07027213.1,Unknown
AABR07027390.1,Unknown
AABR07027390.2,Unknown
AABR07027390.3,Unknown
AABR07027568.1,Unknown
AABR07028092.1,Unknown
AABR07028172.1,Unknown
AABR07028327.1,Unknown
AABR07028488.1,Unknown
AABR07028491.1,Unknown
AABR07028492.11,Unknown
AABR07028492.5,Unknown
AABR07028561.1,Unknown
AABR07028568.1,Unknown
AABR07029526.1,Unknown
AABR07030060.1,Unknown
AABR07030221.1,Unknown
AABR07030977.1,Unknown
AABR07031251.1,Unknown
AABR07031347.1,Unknown
AABR07031381.1,Unknown
AABR07031759.1,Unknown
AABR07031787.1,Unknown
AABR07032348.2,Unknown
AABR07032622.1,Unknown
AABR07032757.1,Unknown
AABR07032834.1,Unknown
AABR07033285.1,Unknown
AABR07033296.1,Unknown
AABR07033492.2,Unknown
AABR07033817.1,Unknown
AABR07034182.1,Unknown
AABR07034669.2,Unknown
AABR07034718.2,Unknown
AABR07034964.1,Unknown
AABR07035064.1,Unknown
AABR07035309.1,Unknown
AABR07035341.1,Unknown
AABR07035501.1,Unknown
AABR07035641.1,Unknown
AABR07035641.2,Unknown
AABR07035722.1,Unknown
AABR07035776.1,Unknown
AABR07035790.1,Unknown
AABR07035790.2,Unknown
AABR07035791.1,Unknown
AABR07036301.1,Unknown
AABR07036514.1,Unknown
AABR07036532.1,Unknown
AABR07036608.1,Unknown
AABR07037176.1,Unknown
AABR07039303.1,Unknown
AABR07039950.1,Unknown
AABR07040936.1,Unknown
AABR07041449.1,Unknown
AABR07042571.1,Unknown
AABR07042611.1,Unknown
AABR07042633.1,Unknown
AABR07043449.1,Unknown
AABR07043453.1,Unknown
AABR07043525.1,Unknown
AABR07043825.1,Unknown
AABR07043881.1,Unknown
AABR07043883.1,Unknown
AABR07043883.2,Unknown
AABR07044344.1,Unknown
AABR07044346.1,Unknown
AABR07044362.1,Unknown
AABR07044408.1,Unknown
AABR07044414.1,Unknown
AABR07044642.1,Unknown
AABR07044799.1,Unknown
AABR07045135.1,Unknown
AABR07045510.1,Unknown
AABR07046725.1,Unknown
AABR07047044.1,Unknown
AABR07047044.2,Unknown
AABR07047094.1,Unknown
AABR07047174.1,Unknown
AABR07047174.3,Unknown
AABR07047262.1,Unknown
AABR07047771.1,Unknown
AABR07047844.1,Unknown
AABR07048010.1,Unknown
AABR07048281.1,Unknown
AABR07048540.1,Unknown
AABR07048653.1,Unknown
AABR07048785.1,Unknown
AABR07048787.1,Unknown
AABR07048790.1,Unknown
AABR07048791.1,Unknown
AABR07048957.1,Unknown
AABR07048966.1,Unknown
AABR07049064.1,Unknown
AABR07049288.1,Unknown
AABR07049579.1,Unknown
AABR07050499.1,Unknown
AABR07050600.1,Unknown
AABR07050652.1,Unknown
AABR07051562.1,Unknown
AABR07051611.1,Unknown
AABR07052082.1,Unknown
AABR07052587.3,Unknown
AABR07052730.1,Unknown
AABR07052730.2,Unknown
AABR07052897.3,Unknown
AABR07052926.1,Unknown
AABR07053159.1,Unknown
AABR07054026.1,Unknown
AABR07054422.1,Unknown
AABR07054680.1,Unknown
AABR07054832.1,Unknown
AABR07054837.1,Unknown
AABR07054963.1,Unknown
AABR07055221.1,Unknown
AABR07055222.1,Unknown
AABR07055506.1,Unknown
AABR07056319.1,Unknown
AABR07057421.2,Unknown
AABR07057421.3,Unknown
AABR07057495.1,Unknown
AABR07058015.1,Unknown
AABR07058102.1,Unknown
AABR07058233.2,Unknown
AABR07058412.1,Unknown
AABR07058412.3,Unknown
AABR07058423.3,Unknown
AABR07058758.1,Unknown
AABR07058884.2,Unknown
AABR07058925.1,Unknown
AABR07058976.1,Unknown
AABR07059258.1,Unknown
AABR07060519.1,Unknown
AABR07060522.2,Unknown
AABR07060522.3,Unknown
AABR07060620.1,Unknown
AABR07060678.1,Unknown
AABR07060694.1,Unknown
AABR07060700.1,Unknown
AABR07061152.2,Unknown
AABR07061251.1,Unknown
AABR07061504.1,Unknown
AABR07062228.1,Unknown
AABR07062274.1,Unknown
AABR07062277.1,Unknown
AABR07062453.1,Unknown
AABR07062512.1,Unknown
AABR07062513.1,Unknown
AABR07062513.3,Unknown
AABR07062544.1,Unknown
AABR07062672.2,Unknown
AABR07063286.1,Unknown
AABR07063419.1,Unknown
AABR07063421.1,Unknown
AABR07063424.1,Unknown
AABR07063425.1,Unknown
AABR07063425.2,Unknown
AABR07063462.1,Unknown
AABR07063508.1,Unknown
AABR07063940.1,Unknown
AABR07064253.1,Unknown
AABR07064369.1,Unknown
AABR07064487.1,Unknown
AABR07064622.2,Unknown
AABR07064635.1,Unknown
AABR07065042.1,Unknown
AABR07065115.1,Unknown
AABR07065265.1,Unknown
AABR07065274.1,Unknown
AABR07065476.2,Unknown
AABR07065498.1,Unknown
AABR07065566.1,Unknown
AABR07065821.1,Unknown
AABR07066527.1,Unknown
AABR07066534.2,Unknown
AABR07066838.1,Unknown
AABR07067403.1,Unknown
AABR07067404.1,Unknown
AABR07067404.2,Unknown
AABR07067491.1,Unknown
AABR07067491.2,Unknown
AABR07067507.2,Unknown
AABR07068085.2,Unknown
AABR07068154.1,Unknown
AABR07069011.1,Unknown
